date,time,position,keywords,asin,brand,ispromoted,accountid,ks,price,rate,reviews
2019-09-08,5,4,huggies size 5,B00TX1KBLU,Huggies,0,546,KS7246,31.72,3.6,11906
2019-09-08,5,4,huggies size 6,B00TX1KC1O,Huggies,0,546,KS7246,32.65,3.6,11906
2019-09-08,5,4,huggies wipes unscented,B078XXNPLQ,Huggies,0,546,KS7246,13.98,4.3,874
2019-09-08,5,4,newborn diapers honest,B07G8F7GZ5,The Honest Company,0,546,KS7246,42.35,4,459
2019-09-08,5,4,newborn diapers supersize,B07DCB7H79,Pampers,0,546,KS7246,27.39,3.9,1009
2019-09-08,5,4,pampers diapers size 1,B07DCCP3Y1,Pampers,0,546,KS7246,48.28,4,234
2019-09-08,5,4,sensitive baby wipes,B07H4V7M4C,Amazon Elements,0,546,KS7246,17.99,4.5,3065
2019-09-08,5,4,size 5 diapers,B07F6DP7X9,Luvs,0,546,KS7246,24.99,3.5,521
2019-09-08,5,5,baby wipes compostable,B01LCBMBYS,Caboo,0,546,KS7246,16.99,4.1,191
2019-09-08,5,5,baby wipes sensitive,B07H4V7M4C,Amazon Elements,0,546,KS7246,17.99,4.5,3065
2019-09-08,5,5,baby wipes unscented,B07H5MLTDF,Amazon Elements,0,546,KS7246,12.49,4.5,13457
2019-09-08,5,5,baby+wipes,B07H4V7M4C,Amazon Elements,0,546,KS7246,17.99,4.5,3065
2019-09-08,5,5,diaper huggies newborn,B07QDP8CDP,Huggies,0,546,KS7246,25.84,3.7,292
2019-09-08,5,5,diaper size 4,B07QK34WY6,Huggies,0,546,KS7246,31.07,3.7,293
2019-09-08,5,5,diaper size 5,B0746FJC9C,Mama Bear,0,546,KS7246,32.79,4.1,4990
2019-09-08,5,5,diapers,B07JBM73TV,Pampers,0,546,KS7246,27.29,4.6,124
2019-09-08,5,5,diapers newborn,B07DCB7H79,Pampers,0,546,KS7246,27.39,3.9,1009
2019-09-08,5,5,diapers size 1,B018WDLB2W,Pampers,0,546,KS7246,14.88,4.3,167
2019-09-08,5,5,diapers size 4,B0746FR8FD,Mama Bear,0,546,KS7246,null,4.1,4990
2019-09-08,5,5,diapers size 5,B00BCXF9EG,Huggies,0,546,KS7246,40.11,3.6,11906
2019-09-08,5,5,diapers size 6,B00TX1KC1O,Huggies,0,546,KS7246,32.65,3.6,11906
2019-09-08,5,5,honest company diapers size 1,B07GS7Q3YM,The Honest Company,0,546,KS7246,39.75,4,459
2019-09-08,5,5,honest diapers newborn,B07JP6Q7RS,The Honest Company,0,546,KS7246,43.99,4.3,101
2019-09-08,5,5,huggies,B07MP6VXRN,Huggies,0,546,KS7246,39.76,4.5,651
2019-09-08,5,5,huggies baby wipes,B07MDRNL78,Huggies,0,546,KS7246,14.59,4.7,279
2019-09-08,5,5,huggies diapers 3,B00BCXF7NO,Huggies,0,546,KS7246,null,3.6,11906
2019-09-08,5,5,huggies diapers size 1,B00CHQANSO,Huggies,0,546,KS7246,41.86,3.6,11906
2019-09-08,5,5,huggies natural care wipes,B07SCL613T,Huggies,0,546,KS7246,19.97,4.7,557
2019-09-08,5,5,huggies size 1,B07MYW85VT,Huggies,0,546,KS7246,24.27,4.5,651
2019-09-08,5,5,huggies size 3,B07N916Z7R,Huggies,0,546,KS7246,28.99,4.3,587
2019-09-08,5,5,huggies size 4,B07MDRNHYC,Huggies,0,546,KS7246,46.39,4.5,651
2019-09-08,5,5,huggies size 5,B07MYW25CJ,Huggies,0,546,KS7246,46.7,4.3,587
2019-09-08,5,5,huggies wipes,B07SCL613T,Huggies,0,546,KS7246,19.97,4.7,557
2019-09-08,5,5,huggies wipes unscented,B07M6XVCBY,Huggies,0,546,KS7246,13.98,4.6,641
2019-09-08,5,5,natural baby wipes,B00QEMUTEU,Seventh Generation,0,546,KS7246,14.97,4.2,651
2019-09-08,5,5,newborn diapers,B07DCB7H79,Pampers,0,546,KS7246,27.39,3.9,1009
2019-09-08,5,5,newborn diapers honest,B07G4V2J28,The Honest Company,0,546,KS7246,24.82,4.1,552
2019-09-08,5,5,newborn diapers supersize,B07D3N3BVY,Pampers,0,546,KS7246,32.92,4.4,347
2019-09-08,5,5,pampers diapers size 1,B07DCCP3Y1,Pampers,0,546,KS7246,48.28,4,234
2019-09-08,5,5,pampers size 1,B07DCCP3Y1,Pampers,0,546,KS7246,48.28,4,234
2019-09-08,5,5,size 1 diapers,B07MYW85VT,Huggies,0,546,KS7246,24.27,4.5,651
2019-09-08,5,5,size 5 diapers,B00BCXF9EG,Huggies,0,546,KS7246,40.11,3.6,11906
2019-09-08,5,5,swaddlers size 1,B018WDLB2W,Pampers,0,546,KS7246,14.88,4.3,167
2019-09-08,5,5,swim diaper,B00WG76LQW,Huggies,0,546,KS7246,9.19,4.3,130
2019-09-08,5,5,swim diapers,B00WG76LQW,Huggies,0,546,KS7246,9.19,4.3,130
2019-09-08,5,5,swimming diapers,B00WG76LQW,Huggies,0,546,KS7246,9.19,4.3,130
2019-09-08,5,5,wet wipes baby,B008KJEYLO,WaterWipes,0,546,KS7246,42.99,4.4,5223
2019-09-08,5,6,baby wipes,B07H5MLTDF,Amazon Elements,0,546,KS7246,12.49,4.5,13457
2019-09-08,5,6,baby wipes compostable,B00DBEU5N4,Aleva Naturals,0,546,KS7246,25.51,3.9,102
2019-09-08,5,6,baby wipes sensitive,B00FMWWN6U,Pampers,0,546,KS7246,13.99,4.2,2129
2019-09-08,5,6,baby wipes unscented,B07H53W5WP,Amazon Elements,0,546,KS7246,17.99,4.5,3065
2019-09-08,5,6,baby+wipes,B07H5LVS3B,Amazon Elements,0,546,KS7246,12.49,4.5,13457
2019-09-08,5,6,diaper huggies newborn,B07MDRNK7X,Huggies,0,546,KS7246,19.21,4.6,36
2019-09-08,5,6,diaper newborn,B07DCB7H79,Pampers,0,546,KS7246,27.39,3.9,1009
2019-09-08,5,6,diaper size 1,B07J9Z291F,Pampers,0,546,KS7246,33.94,4.6,124
2019-09-08,5,6,diaper size 4,B07DC8BR3B,Pampers,0,546,KS7246,49.5,3.9,1009
2019-09-08,5,6,diaper size 5,B00BCXF9EG,Huggies,0,546,KS7246,40.11,3.6,11906
2019-09-08,5,6,diapers newborn,B07DCB7H79,Pampers,0,546,KS7246,27.39,3.9,1009
